Year,Scenario,Sea_Level_cm
2020,ssp119,7.7
2020,ssp126,7.6
2020,ssp245,7.5
2020,ssp370,7.3999999999999995
2020,ssp585,7.3
2020,ssp126,7.6
2020,ssp585,7.199999999999999
2030,ssp119,12.0
2030,ssp126,12.2
2030,ssp245,12.6
2030,ssp370,12.5
2030,ssp585,12.6
2030,ssp126,12.2
2030,ssp585,12.5
2040,ssp119,16.1
2040,ssp126,17.5
2040,ssp245,18.2
2040,ssp370,18.099999999999998
2040,ssp585,19.3
2040,ssp126,17.5
2040,ssp585,19.1
2050,ssp119,21.0
2050,ssp126,23.400000000000002
2050,ssp245,25.4
2050,ssp370,25.3
2050,ssp585,27.400000000000002
2050,ssp126,23.3
2050,ssp585,27.3
2060,ssp119,25.8
2060,ssp126,28.799999999999997
2060,ssp245,31.8
2060,ssp370,33.0
2060,ssp585,35.6
2060,ssp126,28.799999999999997
2060,ssp585,35.9
2070,ssp119,30.8
2070,ssp126,34.8
2070,ssp245,38.6
2070,ssp370,41.4
2070,ssp585,44.9
2070,ssp126,34.5
2070,ssp585,45.9
2080,ssp119,35.0
2080,ssp126,39.2
2080,ssp245,45.6
2080,ssp370,50.2
2080,ssp585,55.50000000000001
2080,ssp126,38.9
2080,ssp585,57.99999999999999
2090,ssp119,39.1
2090,ssp126,43.2
2090,ssp245,52.2
2090,ssp370,59.8
2090,ssp585,67.80000000000001
2090,ssp126,42.6
2090,ssp585,73.0
2100,ssp119,43.4
2100,ssp126,48.199999999999996
2100,ssp245,61.0
2100,ssp370,70.0
2100,ssp585,81.69999999999999
2100,ssp126,47.4
2100,ssp585,90.60000000000001
2110,ssp119,46.9
2110,ssp126,51.2
2110,ssp245,65.8
2110,ssp370,76.0
2110,ssp585,88.4
2110,ssp126,51.4
2110,ssp585,105.3
2120,ssp119,51.2
2120,ssp126,55.60000000000001
2120,ssp245,73.0
2120,ssp370,85.8
2120,ssp585,100.0
2120,ssp126,56.10000000000001
2120,ssp585,124.70000000000002
2130,ssp119,55.400000000000006
2130,ssp126,59.699999999999996
2130,ssp245,80.2
2130,ssp370,95.6
2130,ssp585,111.20000000000002
2130,ssp126,60.8
2130,ssp585,146.3
2140,ssp119,59.4
2140,ssp126,63.800000000000004
2140,ssp245,87.3
2140,ssp370,105.4
2140,ssp585,122.10000000000001
2140,ssp126,65.60000000000001
2140,ssp585,170.4
2150,ssp119,63.4
2150,ssp126,67.80000000000001
2150,ssp245,94.19999999999999
2150,ssp370,114.8
2150,ssp585,132.6
2150,ssp126,70.5
2150,ssp585,197.2
