year,ssp119_mm,ssp119_lower,ssp119_upper,ssp245_mm,ssp245_lower,ssp245_upper,ssp585_mm,ssp585_lower,ssp585_upper
2020,61.66423357664234,38.91970802919708,87.97810218978103,66.16058394160584,36.36496350364963,98.28467153284672,68.0,40.67153284671533,97.82481751824818
2030,116.34306569343066,74.58394160583941,165.37956204379563,119.64963503649635,74.1970802919708,171.0,124.78102189781022,82.53284671532846,173.6934306569343
2040,167.46715328467153,113.00729927007299,235.83941605839416,179.16058394160584,120.75912408759125,248.93430656934308,192.44525547445255,133.27737226277372,264.2189781021898
2050,223.6058394160584,157.55474452554745,311.6204379562044,248.17518248175182,176.52554744525548,338.7883211678832,272.2335766423358,196.24817518248176,368.6934306569343
2060,269.33576642335765,187.91240875912408,380.7080291970803,313.6715328467153,230.08759124087592,426.46715328467155,353.48175182481754,263.0,477.35766423357666
2070,319.35036496350364,221.74452554744525,454.75912408759126,386.2846715328467,285.7007299270073,528.1751824817518,450.43065693430657,339.18978102189783,609.2262773722628
2080,359.0729927007299,243.17518248175182,520.2262773722628,459.75182481751824,338.6788321167883,633.2773722627737,558.970802919708,418.1459854014599,762.043795620438
2090,404.4890510948905,270.05109489051097,592.0875912408759,535.3576642335767,393.6569343065693,745.6496350364963,682.2554744525547,517.1094890510949,933.7664233576643
2100,445.9051094890511,272.1240875912409,670.0948905109489,616.5474452554745,434.56934306569343,874.3138686131387,813.992700729927,607.1240875912408,1126.2919708029196
2110,491.014598540146,286.08029197080293,752.5401459854014,681.3357664233577,446.15328467153284,998.3941605839416,897.7153284671533,607.4671532846716,1304.2919708029196
2120,535.8832116788321,307.37226277372264,827.1605839416059,757.4744525547445,492.05839416058393,1118.2262773722628,1017.2773722627737,686.029197080292,1487.109489051095
2130,578.8321167883212,326.7007299270073,899.8613138686131,832.4963503649635,536.5912408759124,1237.1751824817518,1133.2116788321168,761.7591240875912,1666.1386861313867
2140,620.8613138686131,345.08029197080293,971.7153284671533,906.6788321167883,580.3576642335767,1355.14598540146,1244.8832116788321,833.6569343065694,1841.5109489051094
2150,662.0802919708029,362.55474452554745,1042.5912408759125,979.7080291970802,623.1094890510949,1471.7226277372263,1352.846715328467,902.0583941605839,2013.3284671532847
